"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 04, 2018","6.150","6.320","6.620","6.070","50.42K","-3.91%"
"Dec 03, 2018","6.400","6.320","6.440","6.160","52.22K","3.39%"
"Nov 30, 2018","6.190","6.160","6.210","5.980","33.15K","0.98%"
"Nov 29, 2018","6.130","6.160","6.430","5.900","145.48K","-0.81%"
"Nov 28, 2018","6.180","6.530","6.540","6.050","121.31K","-3.44%"
"Nov 27, 2018","6.400","6.380","6.570","5.710","187.15K","-0.47%"
"Nov 26, 2018","6.430","6.390","6.470","6.230","108.71K","-5.02%"
"Nov 23, 2018","6.770","6.500","7.030","6.500","75.17K","5.95%"
"Nov 21, 2018","6.390","6.370","6.700","6.010","131.13K","0.31%"
"Nov 20, 2018","6.370","6.280","6.730","6.150","62.62K","1.27%"
"Nov 19, 2018","6.290","7.000","7.050","6.250","113.90K","-9.50%"
"Nov 16, 2018","6.950","6.980","7.110","6.630","143.25K","-1.28%"
"Nov 15, 2018","7.040","6.760","7.180","6.510","42.60K","3.53%"
"Nov 14, 2018","6.800","6.970","7.080","6.590","72.80K","-0.44%"
"Nov 13, 2018","6.830","6.870","7.110","6.700","95.86K","4.27%"
"Nov 12, 2018","6.550","7.150","7.230","6.170","99.53K","-8.01%"
"Nov 09, 2018","7.120","7.750","7.850","7.010","105.00K","-9.07%"
"Nov 08, 2018","7.830","7.720","7.970","7.250","163.36K","3.57%"
"Nov 07, 2018","7.560","7.090","7.750","6.910","195.53K","7.23%"
"Nov 06, 2018","7.050","6.500","7.090","6.480","103.57K","8.46%"
"Nov 05, 2018","6.500","6.920","7.230","6.260","102.32K","-5.66%"
"Nov 02, 2018","6.890","6.240","7.300","6.240","129.51K","10.24%"
"Nov 01, 2018","6.250","5.900","6.280","5.900","69.87K","6.66%"
"Oct 31, 2018","5.860","5.830","6.060","5.700","209.31K","2.09%"
"Oct 30, 2018","5.740","5.800","6.100","5.620","171.80K","0.53%"
"Oct 29, 2018","5.710","5.910","6.120","5.660","59.78K","-2.23%"
"Oct 26, 2018","5.840","6.000","6.300","5.650","128.30K","-2.34%"
"Oct 25, 2018","5.980","5.900","6.480","5.830","119.66K","3.28%"
"Oct 24, 2018","5.790","6.680","6.890","5.750","252.23K","-12.41%"
"Oct 23, 2018","6.610","7.450","7.520","6.540","212.60K","-12.80%"
"Oct 22, 2018","7.580","8.750","8.850","7.260","309.84K","-14.25%"
"Oct 19, 2018","8.840","8.470","9.700","8.470","238.72K","6.38%"
